"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"items/m1928a_thompson_magazine";"M1A1 Thompson magazine";"Магазин M1A1 Thompson";"Magazin für M1A1 Thompson";"Chargeur de M1A1 Thompson";"Cargador de Thompson M1A1";"M1A1 トンプソンの\tマガジン";"M1A1 톰슨 탄창";"M1A1\t“汤\t普\t森” 弹\t匣";"汤\tN2B2 弹\t匣";"Magazynek M1A1 Thompson"
"items/m1_carbine";"M1 Carbine";"M1 Carbine";"M1 Carbine";"Carabine M1";"Carabina M1";"M1 Carbine";"M1 카빈";"M1 卡\t宾\t枪";"N2\t卡\t宾\t枪";"M1 Carbine"
"items/m1_carbine_magazine";"M1 Carbine magazine";"Магазин M1 Carbine";"Magazin für M1 Carbine";"Chargeur de Carabine M1";"Cargador de Carabina M1";"M1 Carbineの\tマガジン";"M1 카빈 탄창";"M1 卡\t宾\t枪 弹\t匣";"N2\t卡\t宾\t枪 弹\t匣";"Magazynek M1 Carbine"
"items/m1a1_carbine";"M1A1 Carbine";"M1A1 Carbine";"M1A1 Carbine";"Carabine M1";"Carabina M1A1";"M1 Carbine";"M1 카빈";"M1A1 卡\t宾\t枪";"N2B2 卡\t宾\t枪";"Karabinek M1"
"items/m1a1_carbine_magazine";"M1A1 Carbine magazine";"Магазин M1A1 Carbine";"Magazin für M1 Carbine";"Chargeur de Carabine M1";"Cargador de Carabina M1A1";"M1 Carbineの\tマガジン";"M1 카빈 탄창";"M1A1 卡\t宾\t枪 弹\t匣";"N2B2 卡\t宾\t枪 弹\t匣";"Magazynek M1 Carbine"
"items/m1_garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 개런드";"M1\t“加\t兰\t德”";"加\tN2 步\t枪";"M1 Garand"
"items/m1_garand_magazine";"M1 Garand magazine";"Магазин M1 Garand";"Magazin für M1 Garand";"Chargeur de M1 Garand";"Cargador de M1 Garand";"M1 Garandの\tマガジン";"M1 개런드 탄창";"M1\t“加\t兰\t德” 弹\t夹";"加\tN2 弹\t夹";"Magazynek M1 Garand"
"items/m30_luftwaffe_drilling";"M30 Luftwaffe Drilling";"M30 Luftwaffe Drilling";"Drilling M30";"M30 luftwaffe ""drilling""";"M30 Luftwaffe Drilling";"M30 luftwaffe drilling";"루프트바페 M30 삼렬총";"M30 空\t军\t霰\t弹\t枪";"N41\t霰\t弹\t枪";"M30 Strzelba"
"items/m30_luftwaffe_drilling/short";"Luftwaffe";"Luftwaffe";"Luftwaffe";"Luftwaffe";"Luftwaffe";"Luftwaffe";"루프트바페";"空\t军\t霰\t弹\t枪";"战\t斗\t航\t空\t团";"Luftwaffe"
"items/m30_luftwaffe_drilling_magazine";"M30 Luftwaffe Drilling ammo";"Патроны M30 Luftwaffe Drilling";"Munition für Drilling M30";"Munitions de M30 luftwaffe ""drilling""";"Munición de M30 Luftwaffe Drilling";"M30 luftwaffe drillingの\t弾薬";"루프트바페 M30 삼렬총 탄약";"M30 空\t军\t霰\t弹\t枪 弹\t药";"N41\t霰\t弹\t枪 弹\t药";"Magazynek do M30 Strzelba"
"items/m3_submachine_gun";"M3 Submachine Gun";"Пистолет-пулемёт M3";"Maschinenpistole M3";"Mitraillette M3";"Subametralladora M3";"M3 サブマシンガン";"M3 기관단총";"M3 冲\t锋\t枪";"N4 冲\t锋\t枪";"Pistolet Maszynowy M3"
"items/m3_submachine_gun/short";"M3 SMG";"M3 SMG";"Maschinenpistole M3";"M3 SMG";"SMG M3";"M3 SMG";"M3 기관단총";"M3 冲\t锋\t枪";"N4 冲\t锋\t枪";"M3 SMG"
"items/m3_submachine_gun_magazine";"M3 Submachine Gun magazine";"Магазин M3 Submachine Gun";"Magazin für Maschinenpistole M3";"Chargeur de mitraillette M3";"Cargador de Subametralladora M3";"M3 サブマシンガンの\tマガジン";"M3 기관단총 탄창";"M3 冲\t锋\t枪 弹\t匣";"N4 弹\t匣";"Magazynek do Pistoletu Maszynowego M3"
"items/m50_reising";"M50 Reising";"M50 Reising";"M50 Reising";"M50 Reising";"M50 Reising";"レイジング\tM50";"M50 레이징";"M50\t“雷\t兴”";"N61\t雷 冲\t锋\t枪";"M50 Reising"
"items/m50_reising_magazine";"M50 Reising magazine";"Магазин M50 Reising";"Magazin für M50 Reising";"Chargeur de M50 Reising";"Cargador de M50 Reising";"レイジング\tM50\tの\tマガジン";"M50 레이징 탄창";"M50\t“雷\t兴” 弹\t匣";"N61\t雷 弹\t匣";"Magazynek M50 Reising"
"items/mauser_98k";"Kar98k";"Kar98k";"Kar98k";"Kar98k";"Kar98k";"Kar98k";"Kar98k";"Kar98k";"卡 09L 步\t枪";"Kar98k"
"items/mauser98k_magazine";"Kar98k AP magazine";"Магазин Kar98k AP";"Magazin panzerbrechender Munition für Kar98k";"Chargeur de Kar98k perforant";"Cargador AP de Kar98k";"Kar98k APの\tマガジン";"Kar98k AP 탄창";"Kar98k 穿\t甲\t弹\t弹\t夹";"卡 09L 穿\t甲\t弹";"Magazynek Kar98k"
"items/mauser_c96";"Mauser C96";"Mauser C96";"Mauser C96 Mod. 711";"Mauser C96";"Mauser C96";"モーゼル C96";"마우저 C96";"毛\t瑟 C96";"毛\tD07";"Mauser C96"
"items/mauser_c96_magazine";"Mauser C96 magazine";"Магазин Mauser C96";"Magazin für Mauser C96";"Chargeur de Mauser C96";"Cargador de Mauser C96";"モーゼル C96\tの\tマガジン";"마우저 C96 탄창";"毛\t瑟 C96 弹\t匣";"毛\tD07 弹\t匣";"Magazynek Mauser C96"
"items/mg42_mounted";"MG42";"MG42";"MG42";"MG42";"MG42";"MG42";"MG42";"MG 42";"NH53 机\t枪";"MG42"
"items/mg42_mounted_magazine";"MG42 T magazine";"Магазин MG42 T";"L-Magazin für MG42";"Chargeur T de MG42";"Cargador T de MG42";"MG42 Tの\tマガジン";"MG42 T 탄창";"MG 42 曳\t光\t弹\t弹\t链";"NH53 曳\t光\t弹\t匣";"Magazynek MG42"
"items/mg_42_handheld";"MG 42";"MG 42";"MG 42";"MG 42";"MG 42";"MG 42";"MG 42";"MG 42";"NH53 机\t枪";"MG 42"
"items/mg_42_handheld_magazine";"MG 42 magazine";"Магазин MG 42";"Magazin für MG 42";"Chargeur de MG 42";"Cargador de MG 42";"MG 42\tの\tマガジン";"MG 42 탄창";"MG 42 弹\t鼓";"NH53 弹\t鼓";"Magazynek MG 42"
"items/mosin_m38";"Mosin M1938 carbine";"Карабин Мосина обр. 1938г.";"Mosin-Nagant M1938 Karabiner";"Carabine Mosin M1938";"Carabina Mosin M1938";"Mosina M38";"모신 M38 카빈";"莫\t辛\t-\t纳\t甘 M1938";"莫\t2049\t型 卡\t宾\t枪";"Karabin Mosin M1938"
"items/mosin_m38/short";"Mosin M38";"Мосин 38";"Mosin M38";"Mosin M38";"Mosin M38";"Mosina M38";"Mosina M38";"莫\t辛\t-\t纳\t甘";"莫 2049 型";"Mosin M38"
"items/mosin_m91";"Mosin M91/30 sniper rifle";"Снайперская винтовка Мосина обр. 1891/30 г.";"Mosin-Nagant M91/30 Scharfschützengewehr";"Fusil de précision Mosin M91/30";"Rifle de francotirador Mosin M91/30";"Mosina M91";"저격용 모신 M91/30";"莫\t辛\t-\t纳\t甘 M91/30 狙\t击\t型";"莫\t02/41\t型\t狙\t击\t枪";"Snajperka Mosin M91"
"items/mosin_m91/short";"Mosin sniper";"Мосин снайп.";"Mosin SSG";"Mosin M91";"Mosin de francotirador";"Mosina M91";"Mosina M91";"莫\t辛\t-\t纳\t甘\t狙\t击\t步\t枪";"莫\t狙\t击\t步\t枪";"Snajperka Mosin"
"items/mosin_m91_camouflaged_s";"Mosin M91/30 sniper rifle";"Снайперская винтовка Мосина обр. 1891/30 г.";"Mosin-Nagant M91/30 Scharfschützengewehr";"Fusil de précision Mosin M91/30";"Rifle de francotirador Mosin M91/30";"モシン\tM91/30狙撃銃";"저격용 모신 M91/30";"莫\t辛\t-\t纳\t甘 M91/30 狙\t击\t型";"莫 N02/41 型\t狙\t击\t枪";"Snajperka Mosin M91/30"
"items/mosin_m91_camouflaged_w";"Mosin M91/30 sniper rifle";"Снайперская винтовка Мосина обр. 1891/30 г.";"Mosin-Nagant M91/30 Scharfschützengewehr";"Fusil de précision Mosin M91/30";"Rifle de francotirador Mosin M91/30";"モシン\tM91/30狙撃銃";"저격용 모신 M91/30";"莫\t辛\t-\t纳\t甘 M91/30 狙\t击\t型";"莫 N02/41 型\t狙\t击\t枪";"Snajperka Mosin M91/30"
"items/mosin_m91_30";"Mosin M91/30 rifle";"Винтовка Мосина обр. 1891/30 г.";"Mosin-Nagant M91/30 Gewehr";"Fusil Mosin M91/30";"Rifle Mosin M91/30";"Mosin M91/30\tの\tライフル";"모신 M91/30";"莫\t辛\t-\t纳\t甘 M91/30";"莫\t02/41\t型 步\t枪";"Karabin Mosin M91/30"
"items/mosin_m91_30/short";"Mosin M91/30";"Мосин 91/30";"Mosin M91/30";"Mosin M91/30";"Mosin M91/30";"Mosina M91/30";"모신 M91/30";"莫\t辛\t-\t纳\t甘 M91/30";"莫 02/41 型";"Mosin M91/30"
"items/mosin_m91_30_vpgs";"Mosin M91/30 VPGS";"Винтовка Мосина обр.91/30 г. ВПГС";"Mosin M91/30 VPGS";"Mosin M91/30 VPGS";"Mosin M91/30 VPGS";"モシン M91/30 VPGS";"모신 M91/30 VPGS";"莫\t辛\t-\t纳\t甘 M91/30\t（VPGS 枪\t榴\t弹）";"莫\t02/41 WQHT\t（破\t甲\t榴\t弹\t版）";"Mosin M91/30 VPGS"
"items/mosin_magazine";"Mosin AP magazine";"Магазин винтовки Мосина Б.";"Mosin PB Magazin";"Chargeur AP de Mosin";"Cargador AP de Mosin";"Mosina APの\tマガジン";"모신 AP 탄창";"莫\t辛\t-\t纳\t甘 弹\t药\t（穿\t甲\t弹）";"莫 弹\t药\t（穿\t甲\t弹）";"Magazynek Mosin"
"items/mosin_infantry_magazine";"Mosin ""Infantry"" AP magazine";"Магазин ""Пехотной"" винтовки Мосина Б.";"Mosin 'Infanterie' PB Magazin";"Chargeur de Mosina perforant ""Infanterie""";"Cargador AP de Mosin de ""Infantería""";"Mosina 「歩兵」\t APの\tマガジン";"보병용 모신 AP 탄창";"莫\t辛\t-\t纳\t甘 步\t兵\t型 弹\t药\t（穿\t甲\t弹）";"莫 步\t兵\t型 弹\t药\t（穿\t甲\t弹）";"Magazynek ""szturmowy"" Mosin"
"items/mp40";"MP 40";"MP 40";"MP 40";"MP 40";"MP 40";"MP 40";"MP 40";"MP 40";"NQ51 冲\t锋\t枪";"MP 40"
"items/mp_40_silenced";"MP 40 silenced";"MP 40 с глушителем";"MP 40 mit Schalldämpfer";"MP 40 avec silencieux";"MP 40 silenciada";"静音 MP40";"소음기 장착형 MP 40";"MP 40 消\t音\t型";"NQ 51\t（消\t音\t版）";"Wytłumiony MP 40"
"items/mp40_magazine";"MP 38/40/41 magazine";"Магазин MP 38/40/41";"Magazin für MP 38/40/41";"Chargeur de MP 38/40/41";"Cargador de MP 38/40/41";"MP 38/40/41\tの\tマガジン";"MP 38/40/41 탄창";"MP 38/40/41 通\t用\t弹\t匣";"NQ49/51/52 通\t用\t弹\t匣";"Magazynek MP 38/40/41"
"items/mp_18";"MP 18";"MP 18";"MP 18";"MP 18";"MP 18";"MP 18";"MP 18";"MP 18";"NQ29 冲\t锋\t枪";"MP 18"
"items/mp_18_magazine";"MP 18 magazine";"Магазин MP 18";"Magazin für MP 18";"Chargeur de MP 18";"Cargador de MP 18";"MP 18\tの\tマガジン";"MP 18 탄창";"MP 18 弹\t匣";"NQ29 弹\t匣";"Magazynek MP 18"
"items/mp_35";"MP 35";"MP 35";"MP 35";"MP 35";"MP 35";"MP 35";"MP 35";"MP 35";"NQ45 冲\t锋\t枪";"MP 35"
"items/mp_35_magazine";"MP 35 magazine";"Магазин MP 35";"Magazin für MP 35";"Chargeur MP 35";"Cargador de MP 35";"MP 35\tの\tマガジン";"MP 35 탄창";"MP 35 弹\t匣";"NQ45 弹\t匣";"Magazynek MP 35"
"items/p08_luger";"P08 Luger";"P08 Luger";"P08 Luger";"P08 Luger";"Luger P08";"P08 Luger";"P08 루거";"鲁\t格 P08";"鲁\tQ19";"P08 Luger"
"items/p08_luger_magazine";"P08 Luger magazine";"Магазин P08 Luger";"Magazin für P08 Luger";"Chargeur de P08 Luger";"Cargador de Luger P08";"P08 Lugerの\tマガジン";"P08 루거 탄창";"鲁\t格 P08 弹\t匣";"鲁\tQ19 弹\t匣";"Magazynek P08 Luger"
"items/p38_walther";"Walther P38";"Walther P38";"Walther P38";"Walther P38";"Walther P38";"Walther P38";"발터 P38";"瓦\t尔\t特 P38";"沃\tQ49";"Walther P38"
"items/p38_walther_magazine";"Walther P38 magazine";"Магазин Walther P38";"Magazin für Walther P38";"Chargeur de Walther P38";"Cargador de Walther P38";"Walther P38\tの\tマガジン";"발터 P38 탄창";"瓦\t尔\t特 P38 弹\t匣";"沃\tQ49 弹\t匣";"Magazynek Walther P38"
"items/ppd_3438";"PPD 34/38";"ППД 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD-34/38";"QQE 45/49";"PPD 34/38"
"items/ppd_3438_magazine";"ППД 34/38 magazine";"Магазин PPD 34/38";"Magazin für PPD 34/38";"Chargeur de PPD 34/38";"Cargador de PPD 34/38";"ППД 34/38\tの\tマガジン";"PPD 34/38 탄창";"PPD-34/38 弹\t匣";"QQE 45/49 弹\t匣";"Magazynek PPD 34/38"
"items/ppd_40";"PPD 40";"ППД 40";"PPD-40";"PPD 40";"PPD 40";"PPD 40";"PPD 40";"PPD-40";"QQE 51";"PPD 40"
"items/ppsh_41";"PPSh-41";"ППШ-41";"PPSh-41";"PPSh-41";"PPSh-41";"PPSh-41";"PPSh-41";"PPSh-41";"QQTi52 冲\t锋\t枪";"PPSz-41"
"items/ppsh_drum";"PPSh drum";"Барабан ППШ";"Trommelmagazin für PPSh";"Tambour pour PPSh";"Tambor de PPSh";"PPShの\tドラム";"PPSh 드럼";"PPSh 弹\t鼓";"QQTi 弹\t鼓";"Magazynek bębnowy PPSz"
"items/sten_mk2";"Sten Mk II";"Sten Mk II";"Sten Mk II";"Sten v.II";"Sten Mk II";"Sten Mk II";"스텐 Mk II";"斯\t登 Mk II";"斯\t三\t型 冲\t锋\t枪";"Sten Mk II"
"items/sten_mk2/short";"Sten";"Sten";"Sten";"Sten";"Sten";"ステン";"스텐";"斯\t登";"斯\t登";"Sten"
"items/sten_mk2s";"Sten Mk II(S)";"Sten Mk II(S)";"Sten Mk II(S)";"Sten Mk II(S)";"Sten Mk II(S)";"Sten Mk II(S)";"스텐 Mk II (S)";"斯\t登 Mk II 消\t音\t型";"斯\t三\t型\t（消\t音\t版）\t冲\t锋\t枪";"Sten Mk II(S)"
"items/sten_mk2_magazine";"Sten Mk II magazine";"Магазин Sten Mk II";"Magazin für Sten Mk II";"Chargeur de Sten v.II";"Cargador de Sten Mk II";"Sten Mk IIの\tマガジン";"스텐 Mk II 탄창";"斯\t登 Mk II 弹\t匣";"斯\t三\t型 弹\t匣";"Magazynek Sten Mk II"
"items/stg_44";"StG 44";"StG 44";"StG 44";"StG 44";"StG 44";"StG 44";"StG 44";"StG 44";"TuH 55 突\t击\t步\t枪";"StG 44"
"items/stg_44_rail";"Sniper StG 44";"Снайперский StG 44";"StG 44 Scharfschützengewehr";"StG 44 Sniper";"StG-44 de francotirador";"スナイパー StG 44";"저격용 StG 44";"StG 44 狙\t击\t型";"TuH55\t（狙\t击\t版）";"Snajperskie StG 44"
"items/stg_44_magazine";"StG 44 magazine";"Магазин StG 44";"Magazin für StG 44";"Chargeur de StG 44";"Cargador de StG 44";"StG 44\tの\tマガジン";"StG 44탄창";"StG 44 弹\t匣";"TUH 55 弹\t匣";"Magazynek StG 44"
"items/svt_40";"SVT 40";"СВТ 40";"SVT-40";"SVT 40";"SVT 40";"SVT 40";"SVT 40";"SVT-40";"TWU51";"SVT 40"
"items/svt_40_magazine";"SVT 40 magazine";"Магазин СВТ 40";"Magazin für SVT 40";"Chargeur de SVT 40";"Cargador de SVT 40";"SVT 40\tの\tマガジン";"SVT 40탄창";"SVT-40 弹\t匣";"TWU51 弹\t匣";"Magazynek SVT 40"
"items/tt_33";"TT";"TT";"TT 1933";"TT";"TT";"TT";"TT";"TT-33";"UU 手\t枪";"TT"
"items/tt_magazine";"TT magazine";"Магазин TT";"Magazin für TT";"Chargeur de TT";"Cargador de TT";"TTの\tマガジン";"TT탄창";"TT-33 弹\t匣";"UU 弹\t匣";"Magazynek TT"
"items/colt_walker";"Colt Walker";"Colt Walker";"Colt Walker";"Colt Walker";"Colt Walker";"コルト・ウォーカー";"콜트 워커";"柯\t尔\t特 沃\t克";"柯 沃\t克 左\t轮\t手\t枪";"Colt Walker"
"items/colt_walker_magazine";"Colt Walker ammo";"Патроны Colt Walker";"Munition für Colt Walker";"Munitions de Colt Walker";"Munición de Colt Walker";"コルト・ウォーカーの\t弾薬";"콜트 워커 탄약";"柯\t尔\t特 沃\t克 弹\t药";"柯 沃\t克 弹\t药";"Magazynek Colt Walker"
"items/axe";"Axe";"Топор";"Axt";"Hache";"Hacha";"斧";"도끼";"斧\t头";"斧\t头";"Siekiera"
"items/knife";"Knife";"Нож";"Messer";"Couteau";"Cuchillo";"ナイフ";"칼";"军\t用\t匕\t首";"军\t刀";"Nóż"
"items/shovel";"Shovel";"Лопатка";"Spaten";"Pelle";"Pala";"シャベル";"삽";"工\t兵\t铲";"工\t兵\t铲";"Łopata"
"items/russian_cavalry_sword_1927";"Russian Cavalry Sword M1927";"Шашка обр. 1927г.";"Russisches Kavallerieschwert M1927";"Épée de cavalerie russe M1927";"Espada de Caballería Rusa M1927";"ロシア\t騎兵刀\tM1927";"M1927 샤슈카 세이버";"俄\t罗\t斯 M1927 骑\t兵\t佩\t剑";"红\t方\t北\t国\t骑\t刀\tN2038";"Rosyjski miecz kawaleryjski M1927"
"items/german_officer_sword";"German Officer Sword";"Сабля немецкого офицера";"Deutsches Offiziersschwert";"Épée d'officier allemand";"Espada de Oficial Alemán";"ドイツ\t士官用剣";"대독일 보병장교 장검";"德\t国\t军\t官\t佩\t剑";"蓝\t方\t中\t心\t国\t指\t挥\t刀";"Niemiecki miecz oficerski"
"items/us_officer_sword_1902";"M1902 Army Officers' Saber";"Общевойсковая сабля M1902";"Armee-Offizierssäbel M1902";"Sabre d'officier de l'armée M1902";"Sable de Oficial del Ejército M1902";"M1902陸軍士官\tサーベル";"M1902 육군장교 세이버";"M1902 陆\t军\t军\t官\t佩\t剑";"N2013\t陆\t军\t指\t挥\t剑";"Oficerska szabla wojskowa M1902"
"items/british_officer_sword";"British Infantry Officer's Sword";"Сабля Британского пехотного офицера";"Britisches Infanterieoffiziersschwert";"Épée d'Officier de l'Infanterie Britannique";"Espada de Oficial de Infantería Británico";"イギリス\t歩兵士官用剣";"대영제국 보병장교 장검";"英\t国\t步\t兵\t军\t官\t佩\t剑";"西\t部\t岛\t国\t步\t兵\t军\t官\t剑";"Miecz oficera piechoty brytyjskiej"
"items/italian_m1929_infantry_sword";"Italian Officer's Sword M1929";"Сабля Итальянского офицера M1902";"Italienisches Offiziersschwert M1929";"Épée d'Officier Italien M1929";"Espada de Oficial Italiano M1929";"イタリア\t士官用剣\tM1929";"M1929 이탈리아 장교 장검";"意\t大\t利 M1929 军\t官\t佩\t剑";"N2030\t蓝\t方\t南\t国\t指\t挥\t刀";"Włoska szabla oficerska M1929"
"items/explosion_pack";"Explosion pack";"Взрывпакет";"Sprengladung";"Pack explosif";"Paquete de demolición";"爆発\tパック";"폭발물 다발";"炸\t药\t包";"炸\t药\t包";"Ładunek wybuchowy"
"items/m24";"M24 grenade";"Граната M24";"M24-Granate";"Grenade M24";"Granada M24";"M24\tグレネード";"M24 수류탄";"M24 手\t榴\t弹";"木\t柄\t手\t榴\t弹";"M24 granat"
"items/no_69_impact_grenade";"No. 69 impact grenade";"Ударная граната No. 69";"Nr. 69 Granate mit Aufschlagzünder";"Grenade à impact N°69";"Granada de impacto No. 69";"No. 69 衝撃\tグレネード";"No.69 충격수류탄";"69 号\t碰\t炸\t手\t榴\t弹";"70\t号\t触\t炸\t手\t雷";"Granat No. 69"
"items/no_69_impact_grenade/desc";"An antipersonnel grenade exploding on impact";"Противопехотная граната, взрывающаяся при соударении с поверхностью";"Eine Antipersonengranate, die beim Aufprall explodiert";"Une grenade antipersonnel explosant à l'impact";"Una granada antipersonal que explota al impactar";"衝撃で\t爆発する\t対人手榴弾";"충격을 받으면 폭파하는 대인수류탄입니다.";"反\t人\t员\t手\t榴\t弹，\t与\t物\t体\t表\t面\t发\t生\t碰\t撞\t后\t起\t爆";"在\t触\t碰\t到\t其\t他\t武\t器\t是\t会\t立\t即\t引\t爆！";"Granat przeciwpiechotny wybuchający przy uderzeniu"
"items/srcm_mod_35_impact_grenade";"SRCM Mod. 35 impact grenade";"Ударная граната SRCM Mod. 35";"SRCM Mod. 35 Granate mit Aufschlagzünder";"Grenade à impact SRCM Mod. 35";"Granada de impacto SRCM Mod. 35";"SRCM Mod.35 衝撃\tグレネード";"SRCM Mod.35 충격수류탄";"SCRM 35 式\t碰\t炸\t手\t榴\t弹";"46\t型\t触\t炸\t手\t雷";"Granat SRCM Mod. 35"
"items/srcm_mod_35_impact_grenade/desc";"Anti-personnel grenade with impact fuze.";"Противопехотная граната с ударным механизмом.";"Anti-Personen-Granate mit Aufschlagzünder.";"Grenade antipersonnelle avec détonateur à impact.";"Granada antipersonal con espoleta de impacto.";"衝撃信管付き\t対人\tグレネード";"충격신관을 장착한 대인수류탄입니다.";"碰\t炸\t引\t信\t反\t人\t员\t手\t榴\t弹。";"反\t步\t兵\t触\t炸\t手\t雷。";"Granat przeciwpiechotny z zapalnikiem uderzeniowym."
"items/incendiary_grenade";"White phosphorous grenade";"Фосфорная граната";"Granate mit weißem Phosphor";"Grenade au phosphore blanc";"Granada de fósforo blanco";"白\tリン\t手榴弾";"백린수류탄";"白\t磷\t燃\t烧\t弹";"白\t磷\t手\t榴\t弹";"Granat z białym fosforem"
"items/m_15_incendiary_grenade";"M15 white phosphorous grenade";"Фосфорная граната M15";"M15 Granate mit weißem Phosphor";"Grenade au phosphore blanc M15";"Granada de fósforo blanco M15";"M15 白\tリン\t手榴弾";"M15 백린수류탄";"M15 白\t磷\t燃\t烧\t弹";"N26 白\t磷\t手\t榴\t弹";"Granat M15 z białym fosforem"
"items/m_15_incendiary_grenade/desc";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"Зажигательная граната, поражающая живую силу и технику. При взрыве создает облако ядовитого газа, ограничивающего видимость";"Eine Brandgranate, die Schäden an Menschen und Fahrzeugen verursacht. Die Explosion erzeugt eine Wolke aus giftigem Gas, die die Sicht einschränkt";"Une grenade incendiaire infligeant des dégâts au personnel et aux véhicules. L'explosion produit un nuage de gaz toxique limitant la visibilité.";"Una granada incendiaria que causa daños al personal y a los vehículos. La explosión produce una nube de gas tóxico que limita la visibilidad";"人や\t車両に\tダメージを\t与える\t焼夷弾。\t爆発すると\t有毒\tガスが\t発生し、\t視界が\t制限される";"보병과 장비에 피해를 주는 소이 수류탄입니다. 이 수류탄은 적의 시야를 제한하는 유독성 가스를 내뿜습니다.";"一\t枚\t可\t用\t于\t反\t制\t步\t兵\t单\t位\t与\t载\t具\t的\t燃\t烧\t弹。\t起\t爆\t后\t产\t生\t的\t有\t毒\t烟\t雾\t能\t够\t遮\t蔽\t视\t线。";"对\t士\t兵\t和\t轻\t型\t载\t具\t造\t成\t损\t伤\t的\t燃\t烧\t手\t榴\t弹。\t爆\t炸\t时\t会\t产\t生\t大\t量\t的\t有\t毒\t气\t体，\t并\t可\t以\t释\t放\t大\t量\t烟\t雾、\t阻\t挡\t视\t野。";"Granat zapalający, który zadaje obrażenia żołnierzom i pojazdom. Eksplozja powoduje wydzielenie się toksycznego gazu, który ogranicza widoczność"
"items/type_91_incendiary_grenade";"Type 91 white phosphorous grenade";"Фосфорная граната Type 91";"Typ 91 Granate mit weißem Phosphor";"Grenade au phosphore blanc Type 91";"Granada de fósforo blanco Tipo 91";"九一式曳火手榴弾";"91식 백린수류탄";"91 式\t白\t磷\t燃\t烧\t弹";"02 式\t白\t磷\t手\t榴\t弹";"Granat Typ 91 z białym fosforem"
"items/type_91_incendiary_grenade/desc";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"Зажигательная граната, поражающая живую силу и технику. При взрыве создает облако ядовитого газа, ограничивающего видимость";"Eine Brandgranate, die Schäden an Menschen und Fahrzeugen verursacht. Die Explosion erzeugt eine Wolke aus giftigem Gas, die die Sicht einschränkt";"Une grenade incendiaire infligeant des dégâts au personnel et aux véhicules. L'explosion produit un nuage de gaz toxique limitant la visibilité.";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibilityUna granada incendiaria que causa daños al personal y a los vehículos. La explosión produce una nube de gas tóxico que limita la visibilidad";"人や\t車両に\tダメージを\t与える\t焼夷弾。\t爆発すると\t有毒\tガスが\t発生し、\t視界が\t制限される";"보병과 장비에 피해를 주는 소이 수류탄입니다. 이 수류탄은 적의 시야를 제한하는 유독성 가스를 내뿜습니다.";"一\t枚\t可\t用\t于\t反\t制\t步\t兵\t单\t位\t与\t载\t具\t的\t燃\t烧\t弹。\t起\t爆\t后\t产\t生\t的\t有\t毒\t烟\t雾\t能\t够\t遮\t蔽\t视\t线。";"对\t士\t兵\t和\t轻\t型\t载\t具\t造\t成\t损\t伤\t的\t燃\t烧\t手\t榴\t弹。\t爆\t炸\t时\t会\t产\t生\t大\t量\t的\t有\t毒\t气\t体，\t并\t可\t以\t释\t放\t大\t量\t烟\t雾、\t阻\t挡\t视\t野。";"Granat zapalający, który zadaje obrażenia żołnierzom i pojazdom. Eksplozja powoduje wydzielenie się toksycznego gazu, który ogranicza widoczność"
"items/uk_no_77_incendiary_grenade";"No. 77 white phosphorous grenade";"Фосфорная граната No. 77";"No. 77 Granate mit weißem Phosphor";"Grenade au phosphore blanc No. 77";"Granada de fósforo blanco No. 77";"No. 77 white phosphorous grenade";"No. 77 백린수류탄";"77 号\t白\t磷\t燃\t烧\t弹";"88 号\t白\t磷\t手\t榴\t弹";"Granat Nr 77 z białym fosforem"
